"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"220","bmg2024hpeu","2024-04-17T22:12:15.550663Z","-2.989140748977661","133.70643615722656","3.19307090900595","M","12","15","92.55229187011719","West Papua Region, Indonesia","BMKG"
"221","bmg2024hpcx","2024-04-17T21:15:59.096869Z","2.7582733631134033","125.7051544189453","4.120995721987371","M","131","43","87.77859497070312","Talaud Islands, Indonesia","BMKG"
"222","bmg2024hpbo","2024-04-17T20:34:38.220709Z","1.5947245359420776","124.3404312133789","4.1052852487497677","M","277","50","141.74147415161133","Minahassa Peninsula, Sulawesi","BMKG"
"223","bmg2024hpbf","2024-04-17T20:24:20.959204Z","-0.7726050019264221","121.6326141357422","2.176844417858851","M","5","17","137.4962501525879","Minahassa Peninsula, Sulawesi","BMKG"
"224","bmg2024hpaz","2024-04-17T20:17:10.448276Z","-2.814446449279785","129.30894470214844","3.2717437821088935","M","5","20","121.71279335021973","Seram, Indonesia","BMKG"
"225","bmg2024hpab","2024-04-17T19:49:04.766104Z","-3.306736469268799","140.30828857421875","4.1081889179551467","M","27","21","134.0173454284668","West Papua, Indonesia","BMKG"
"226","bmg2024hoyt","2024-04-17T19:09:52.271925Z","-0.7848540544509888","121.6396942138672","2.6603628676095075","M","5","30","49.03258514404297","Minahassa Peninsula, Sulawesi","BMKG"
"227","bmg2024howr","2024-04-17T18:06:09.954209Z","-9.907320976257324","118.64360809326172","2.59464926485079","M","24","18","218.09210205078125","Sumbawa Region, Indonesia","BMKG"
"228","bmg2024howo","2024-04-17T18:03:00.719236Z","-1.5586508512496948","139.19088745117188","3.510591341409954","M","5","18","210.78524017333984","Near North Coast of West Papua","BMKG"
"229","bmg2024horj","2024-04-17T15:26:09.98575Z","-6.261431694030762","131.43690490722656","3.9589067451532216","M","5","24","107.48456573486328","Tanimbar Islands Region, Indonesia","BMKG"
"230","bmg2024hoof","2024-04-17T13:50:24.905498Z","-1.0131938457489014","121.29290771484375","3.580453052128662","M","5","68","50.4090576171875","Sulawesi, Indonesia","BMKG"
"231","bmg2024hona","2024-04-17T13:13:56.903035Z","1.7323062419891357","124.36597442626953","4.046231365256416","M","272","28","145.1823272705078","Minahassa Peninsula, Sulawesi","BMKG"
"232","bmg2024hodt","2024-04-17T08:32:31.291843Z","-2.5328426361083984","121.46451568603516","3.1044678838885105","M","5","40","81.3023681640625","Sulawesi, Indonesia","BMKG"
"233","bmg2024hodp","2024-04-17T08:28:35.115345Z","-0.9589326977729797","137.77548217773438","3.9031486385183363","M","10","17","207.91033172607422","West Papua Region, Indonesia","BMKG"
"234","bmg2024hocy","2024-04-17T08:08:48.622137Z","2.3469998836517334","125.3775634765625","3.4956265080101345","M","10","15","132.2417848110199","Talaud Islands, Indonesia","BMKG"
"235","bmg2024hnzw","2024-04-17T06:35:43.491212Z","-2.727952241897583","134.51522827148438","2.723596292433763","M","12","7","148.28250885009766","West Papua Region, Indonesia","BMKG"
"236","bmg2024hnwm","2024-04-17T04:52:24.233177Z","1.2748160362243652","128.60040283203125","4.098315127773148","M","13","38","135.3709716796875","Halmahera, Indonesia","BMKG"
"237","bmg2024hnup","2024-04-17T03:55:39.582392Z","-1.5742326974868774","134.62083435058594","4.834940117519441","M","5","40","106.37860870361328","West Papua Region, Indonesia","BMKG"
"238","bmg2024hnrs","2024-04-17T02:27:47.791847Z","-1.9668439626693726","122.5728530883789","3.985802955472808","M","5","54","92.90020751953125","Sulawesi, Indonesia","BMKG"
"239","bmg2024hnpo","2024-04-17T01:23:15.519191Z","-0.34682103991508484","123.7790069580078","4.22021695192441","M","102","51","100.14594650268555","Minahassa Peninsula, Sulawesi","BMKG"
"240","bmg2024hnlp","2024-04-16T23:22:38.38406Z","2.3712124824523926","128.4043731689453","3.202991855966757","MLv","211","18","226.07916259765625","Halmahera, Indonesia","BMKG"
"241","bmg2024hndq","2024-04-16T19:20:48.735818Z","-7.081356048583984","129.86724853515625","4.302213368914149","MLv","169","11","103.341552734375","Banda Sea","BMKG"
"242","bmg2024hmzc","2024-04-16T17:03:10.042789Z","-8.127554893493652","122.39205169677734","3.0637846161111923","M","13","27","162.73485565185547","Flores Region, Indonesia","BMKG"
"243","bmg2024hmyv","2024-04-16T16:55:31.700435Z","-8.034302711486816","122.39280700683594","3.0214799222925293","MLv","10","14","173.02445220947266","Flores Region, Indonesia","BMKG"
"244","bmg2024hmxi","2024-04-16T16:10:22.568239Z","-2.444744110107422","120.77684020996094","2.3439500296678664","M","10","21","114.43636322021484","Sulawesi, Indonesia","BMKG"
"245","bmg2024hmta","2024-04-16T13:59:14.353452Z","-0.21698182821273804","122.85047149658203","3.441283226496985","M","83","58","58.6459732055664","Minahassa Peninsula, Sulawesi","BMKG"
"246","bmg2024hmox","2024-04-16T11:54:35.147241Z","4.0746846199035645","126.55682373046875","3.3976205089234655","M","35","13","179.07465362548828","Talaud Islands, Indonesia","BMKG"
